Checkbox,Icon,Selected,Item code,Tag,Description,Quantity kg/l/nos,Ex. Works Price,CIF,Duty Free,Duty Paid,Export
,,no,Radiators,995 - Radiators,800/33/415 EU CU Tank,1,,,,,
,,no,Radiators,995 - Radiators,1250/33/400 EU AL Tank,1,,,,,
,,no,Radiators,995 - Radiators,1250/33/400 EU Tank,1,,,,,
,,no,Radiators,995 - Radiators,1600/33/400 EU Tank,1,,,,,
,,no,Radiators,995 - Radiators,2000/33/400 EU AL Tank,1,,,,,
,,no,Radiators,995 - Radiators,2000/33/400 EU Tank,1,,,,,
,,no,Radiators,995 - Radiators,2500/33/400 EU AL Tank,1,,,,,
,,no,Radiators,995 - Radiators,2500/33/400 EU Tank,1,,,,,
,,no,Radiators,995 - Radiators,3150/33/400 EU AL Tank,1,,,,,
,,no,Radiators,995 - Radiators,1250/33/415 EU Tank,1,,,,,
,,no,Radiators,995 - Radiators,160/33/415 EU CU Tank,1,,,,,
